elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000818, 10.000818, 492, 512, 1532.8, 1360, 3315, 5240, 6640, 6640, 0
20.0017, 10.000882, 484, 523, 1527.5, 1409, 3153, 4981, 6035, 6198, 0
30.00188, 10.00018, 488, 518, 1480.2, 1269, 3436, 4720, 5693, 6656, 0
40.001951, 10.000071, 499, 526, 1577.0, 1338, 4041, 5689, 7065, 7196, 0
50.00189, 9.999939, 500, 513, 1306.2, 1142, 2228, 4952, 6281, 6329, 0
60.002345, 10.000455, 464, 516, 1339.7, 1182, 2404, 4000, 5337, 5636, 0
70.000721, 9.998376, 508, 541, 1323.4, 1236, 1992, 3276, 5119, 5337, 0
80.001832, 10.001111, 508, 571, 1327.1, 1245, 1995, 2843, 5353, 6368, 0
90.001931, 10.000099, 520, 571, 1291.9, 1236, 1959, 2740, 4229, 5247, 0
100.001714, 9.999783, 552, 515, 1299.8, 1205, 1918, 3148, 5371, 5684, 0
110.001758, 10.000044, 476, 523, 1270.1, 1202, 1858, 2632, 4772, 4962, 0
120.001561, 9.999803, 526, 530, 1293.9, 1277, 1919, 2703, 4962, 4970, 0
130.001614, 10.000053, 474, 570, 1320.0, 1253, 1878, 2931, 5209, 5887, 0
140.001746, 10.000132, 460, 558, 1328.3, 1341, 1802, 2332, 5552, 5552, 0
150.00162, 9.999874, 454, 637, 1370.0, 1396, 1811, 2591, 2829, 2829, 0
160.001565, 9.999945, 545, 604, 1391.4, 1390, 1944, 2511, 5342, 5426, 0
170.001713, 10.000148, 453, 476, 1225.7, 1204, 1759, 2334, 4474, 4474, 0
180.001622, 9.999909, 486, 600, 1287.8, 1279, 1780, 2063, 2433, 2685, 0
190.001672, 10.00005, 504, 603, 1293.9, 1298, 1821, 2263, 2685, 3235, 0
200.001603, 9.999931, 485, 671, 1370.8, 1406, 1868, 2592, 3212, 3220, 0
210.001662, 10.000059, 512, 561, 1315.4, 1313, 1806, 2345, 3811, 4689, 0
220.001695, 10.000033, 509, 536, 1318.8, 1312, 1799, 2469, 5396, 5424, 0
230.001554, 9.999859, 459, 541, 1246.6, 1247, 1803, 2002, 2542, 3056, 0
240.001679, 10.000125, 480, 485, 1239.7, 1250, 1740, 2032, 2359, 2603, 0
250.003117, 10.001438, 522, 672, 1339.3, 1384, 1826, 2114, 3287, 3827, 0
260.000627, 9.99751, 510, 577, 1320.0, 1304, 1777, 2408, 2911, 4910, 0
270.001651, 10.001024, 441, 576, 1323.4, 1331, 1800, 2214, 2960, 2960, 0
280.00165, 9.999999, 490, 523, 1330.3, 1358, 1811, 2351, 2974, 3599, 0
290.001577, 9.999927, 494, 588, 1312.8, 1325, 1795, 2210, 2812, 3425, 0
300.001616, 10.000039, 497, 541, 1221.5, 1195, 1790, 2243, 2566, 2724, 0
310.00173, 10.000114, 480, 499, 4306.7, 1185, 10985, 121827, 144167, 151809, 0
320.001608, 9.999878, 475, 500, 1435.9, 1195, 2266, 10883, 18594, 18717, 0
330.001627, 10.000019, 501, 466, 956.4, 869, 1582, 1784, 2281, 2793, 0
340.001661, 10.000034, 514, 635, 1121.4, 1014, 1727, 2313, 2753, 2759, 0
350.001718, 10.000057, 489, 494, 1091.8, 995, 1725, 2201, 2704, 2814, 0
360.001713, 9.999995, 546, 553, 1233.7, 1160, 1779, 2240, 3868, 4143, 0
370.001863, 10.00015, 467, 549, 1320.1, 1302, 1823, 2471, 2784, 3007, 0
380.00178, 9.999917, 471, 606, 1401.0, 1443, 1805, 2267, 2690, 2911, 0
390.00173, 9.99995, 485, 637, 1429.7, 1477, 1843, 2401, 2868, 3631, 0
400.001596, 9.999866, 502, 606, 1369.0, 1409, 1823, 2416, 2662, 3848, 0
410.001619, 10.000023, 488, 642, 1388.7, 1428, 1793, 2245, 2944, 3984, 0
420.00162, 10.000001, 509, 533, 1265.3, 1193, 1798, 2520, 3163, 3633, 0
430.001566, 9.999946, 466, 533, 1191.6, 1110, 1863, 2298, 2776, 3734, 0
440.001634, 10.000068, 458, 513, 1154.7, 1034, 1908, 2568, 2953, 3039, 0
450.001766, 10.000132, 507, 513, 1091.3, 1004, 1722, 2349, 2696, 3376, 0
460.00166, 9.999894, 543, 495, 998.4, 916, 1594, 2031, 2899, 3687, 0
470.00182, 10.00016, 495, 637, 1017.1, 946, 1577, 2309, 2448, 3837, 0
480.00162, 9.9998, 493, 588, 999.1, 917, 1616, 2257, 2868, 3367, 0
490.001708, 10.000088, 530, 619, 1036.5, 953, 1635, 2117, 2372, 2432, 0
500.001661, 9.999953, 528, 544, 1000.3, 927, 1598, 2065, 2884, 4171, 0
510.001779, 10.000118, 509, 613, 970.5, 911, 1466, 2087, 2200, 2338, 0
520.001684, 9.999905, 476, 629, 1021.8, 955, 1530, 2104, 2778, 3034, 0
530.001598, 9.999914, 473, 640, 1024.8, 952, 1597, 2086, 2217, 2612, 0
540.001729, 10.000131, 485, 652, 1019.4, 961, 1546, 1922, 2007, 2864, 0
550.001792, 10.000063, 504, 614, 1003.0, 946, 1505, 1936, 2333, 2589, 0
560.001864, 10.000072, 499, 608, 995.8, 921, 1492, 1927, 2762, 3138, 0
570.00158, 9.999716, 511, 622, 998.5, 919, 1536, 2079, 2301, 2337, 0
580.001737, 10.000157, 535, 600, 977.9, 914, 1490, 2012, 2461, 3410, 0
590.001713, 9.999976, 503, 610, 1006.1, 945, 1557, 2160, 2866, 2965, 0
600.001646, 9.999933, 502, 635, 1027.8, 953, 1596, 2489, 3056, 3136, 0
601.006128, 1.004482, 61, 635, 1029.3, 954, 1590, 2489, 3056, 3136, 0
